MINEPAT,,,,,,,,,,,,,,,,,,,,,,REPUBLIQUE DU CAMEROUN,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DPIP,,,,,,,,,,,,,,,,,,,,,,PAIX - TRAVAIL - PATRIE,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOURNAL DES PROJETS PAR REGION (DETAIL DES OPERATIONS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROJET LOG-BOOK PER REGION (DETAILS OF OPERATIONS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Dotation initiale Exercice / Financial year : 2012,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Code service :,,,,,0201,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Région/,,Region,,,ADAMAOUA / ADAMAWA,,,,,,,,,,,,,,,,,,Service code :,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapitre :,,,,,023,DIRECTION GENERALE A LA RECHERCHE EXTERIEURE,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head :,,,,,,DIRECTORATE GENERAL FOR EXTERNAL RESEARCH,,,,,,,,,,,,,,,,,,,,,"En Milliers de FCFAIn Thousand CFAF",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Opération,,,,,,,,,,Coût,,Région,,Département,,Arrondissement,,Poste Comp.,,Localité,,,,,Mode Gestion,,,Gestionnaire,,,,
Operation,,,,,,,,,,Cost,,Region,,Division,,Sub-Division,,Accounting Sta.,,Locality,,,,Management m.,,,,Vote holder,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Imputation :,,,025310102243,,,"Bureau de Liaison de Tignère  :  Acquisition, installations et rénovations des plomberies et sanitaires",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Dotation :,,"2,473",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Imputation :,,,,,,"Liaison Office of Tgnere  :  Purchase, installation and renovation of plumbing and toilets",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BL Tignère : Construction des latrines(du Projet N° 2-30-02-222-231),,,,,,,,,,"2,473",,,,FARO ET DEO,,TIGNERE,,RECET FINA TIGNERE,,TIGNERE,,,,,,,,Chef BL,,,,
,,,,,,,,,,,,ADAMAOUA / ADAMAWA,,,,,,,,,,,,,DA,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BL Tignère : Construction of latrines(of project N° 2-30-02-222-231),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total des activités de l'imputation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"2,473",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total imputation activities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Imputation :,,,025310102246,,,"Bureau de Liaison de Tignère  :  Construction, aménagement, rénovation des réseaux d’eau",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Dotation :,,"4,500",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Imputation :,,,,,,"Liaison Office of Tgnere  :  Construction, development, renovation of water systems",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BL Tignère : Construction puits d'eau(du Projet N° 2-30-02-222-231),,,,,,,,,,"4,500",,,,FARO ET DEO,,TIGNERE,,RECET FINA TIGNERE,,TIGNERE,,,,,,,,Chef BL,,,,
,,,,,,,,,,,,ADAMAOUA / ADAMAWA,,,,,,,,,,,,,DA,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BL Tignère : Construction of wells(of project N° 2-30-02-222-231),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total des activités de l'imputation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"4,500",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
